Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
112,0.991352,0.982838,0.985795,0.991736,0.994920,1.874789,1.987386,0.854589,0.989596,0.994253,0.995889,45.123675,47.807929,48.187377,97.390208,
113,0.991408,0.983011,0.985304,0.992264,0.994843,1.538220,1.874789,0.852878,0.987664,0.993432,0.996251,44.971935,47.848204,48.120534,96.938155,
114,0.991821,0.983766,0.986493,0.991970,0.995413,1.538220,1.538220,0.854069,0.988560,0.993690,0.995487,44.950543,47.443746,47.884967,96.983320,
115,0.990137,0.982698,0.985249,0.991598,0.992580,1.899056,1.899056,0.846695,0.988829,0.993703,0.995090,44.724122,47.382159,48.098707,97.062613,
116,0.990106,0.981517,0.983572,0.989672,0.994804,2.616460,2.822761,0.846414,0.988532,0.993999,0.995945,44.787698,47.305534,47.649850,98.079937,
117,0.991703,0.984959,0.987393,0.993313,0.993727,2.276496,2.616460,0.870645,0.989935,0.994571,0.996221,45.643225,48.565893,48.692743,98.047049,
118,0.991669,0.985087,0.988510,0.991955,0.994196,2.223845,2.276496,0.866407,0.989848,0.994257,0.996495,45.572009,48.512430,48.834679,97.975497,
119,0.991161,0.983217,0.987091,0.991905,0.994002,1.528529,2.223845,0.852384,0.988012,0.993553,0.995386,45.010524,47.763613,47.821312,96.809222,
120,0.990660,0.983348,0.985715,0.991455,0.993649,1.528529,1.528529,0.853559,0.988146,0.993511,0.995688,45.004347,47.463686,47.782550,96.722991,
121,0.991209,0.981560,0.987126,0.991719,0.994628,1.826890,1.826890,0.853002,0.988549,0.994427,0.996625,44.827239,47.627206,48.044614,97.356741,
122,0.990298,0.982825,0.985817,0.989849,0.994033,2.215120,2.654641,0.844895,0.987828,0.993817,0.995931,44.552832,47.192520,47.367760,97.581802,
123,0.989864,0.982408,0.984863,0.990525,0.993002,2.067143,2.215120,0.841260,0.988135,0.993822,0.995966,44.398261,47.228009,47.584688,97.295641,
124,0.990104,0.981754,0.984754,0.990915,0.993414,2.067143,2.067143,0.847416,0.987634,0.993401,0.995788,44.543070,46.732847,47.486673,97.314048,
125,0.990748,0.981880,0.986223,0.991095,0.994215,2.274670,2.337447,0.845885,0.987553,0.993516,0.995483,44.592559,47.079682,47.468980,97.708007,
126,0.991500,0.981975,0.985991,0.992422,0.995130,1.848424,2.274670,0.848676,0.988745,0.994140,0.996439,44.733282,47.300435,47.722239,97.420999,
127,0.992143,0.982669,0.988280,0.992439,0.995542,1.741419,1.848424,0.857379,0.990619,0.994946,0.996617,45.210625,47.670145,47.775597,97.481297,
128,0.991202,0.981472,0.987257,0.991282,0.994772,1.741419,1.741419,0.851625,0.990027,0.994699,0.996132,44.921965,47.621107,48.042598,97.221560,
