Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
79,0.994149,0.988024,0.989412,0.994158,0.996908,2.166212,2.166212,0.886451,0.994548,0.997211,0.998135,46.750020,47.469569,48.033205,98.738658,
80,0.994479,0.989013,0.990667,0.993986,0.997120,3.001972,3.001972,0.891833,0.994708,0.997454,0.998258,47.036980,47.749150,48.377588,99.941839,
81,0.994651,0.988864,0.990332,0.994728,0.997137,3.384303,3.384303,0.891708,0.994637,0.997377,0.998237,47.050054,47.948255,48.348664,100.000000,
82,0.994827,0.989486,0.990182,0.994530,0.997628,3.830897,4.919799,0.894679,0.995275,0.997779,0.998305,47.229123,47.804748,48.297081,100.000000,
83,0.994576,0.989254,0.991512,0.994248,0.996941,3.830897,3.830897,0.895561,0.995098,0.997437,0.998249,47.284048,48.009145,48.371788,100.000000,
84,0.994761,0.989453,0.991544,0.994513,0.997169,3.615673,3.972296,0.894931,0.995373,0.997556,0.997985,47.271095,47.881730,48.319931,100.000000,
85,0.994090,0.989594,0.989824,0.994164,0.996617,3.313623,3.615673,0.893481,0.994873,0.997555,0.998500,47.185760,47.667064,48.156929,100.000000,
86,0.993993,0.989165,0.990967,0.994247,0.996101,2.353333,3.313623,0.887011,0.994716,0.997419,0.998389,46.862565,47.516322,48.176973,98.983772,
87,0.993861,0.988818,0.990844,0.993853,0.996194,1.534834,2.353333,0.886992,0.994486,0.997067,0.997985,46.878975,47.569000,48.104153,97.814207,
88,0.994111,0.988455,0.989698,0.994106,0.997067,1.534834,1.534834,0.888253,0.994750,0.997472,0.998131,46.894029,47.724735,48.212448,97.900637,
89,0.993958,0.988785,0.990456,0.993851,0.996488,1.620827,1.839335,0.888638,0.994906,0.997308,0.998294,46.951377,47.686822,48.345782,97.989022,
90,0.994286,0.989087,0.989637,0.994738,0.996837,1.620827,1.620827,0.885355,0.994541,0.997134,0.997917,46.786458,47.633314,48.151416,98.019548,
91,0.994169,0.989045,0.989980,0.994202,0.996840,1.796058,1.796058,0.885279,0.994898,0.997265,0.997796,46.708572,47.345965,47.905093,98.226386,
92,0.993355,0.988374,0.989462,0.992953,0.996235,2.019669,2.019669,0.884239,0.993766,0.996961,0.997748,46.690332,47.361440,47.811112,98.322711,
93,0.993879,0.988515,0.989531,0.993663,0.996853,2.175490,2.175490,0.882231,0.994355,0.997183,0.997938,46.589433,47.550970,47.929892,98.671683,
94,0.993841,0.988764,0.990221,0.993950,0.996272,1.414410,2.601469,0.889611,0.994561,0.997128,0.997910,46.949288,47.605895,48.229243,97.646495,
95,0.994283,0.989658,0.990653,0.994150,0.996720,1.163860,1.414410,0.888660,0.994737,0.997244,0.997892,46.927152,47.705426,48.119167,97.410380,
96,0.994271,0.989243,0.990168,0.994496,0.996720,1.163860,1.163860,0.889970,0.994687,0.997178,0.997836,46.998520,47.768654,48.174202,97.400486,
97,0.994488,0.989792,0.990602,0.994644,0.996841,1.209212,1.209212,0.892307,0.995037,0.997325,0.998133,47.106129,47.837940,48.123270,97.541738,
98,0.994051,0.989485,0.990199,0.994136,0.996388,1.322873,1.322873,0.892103,0.994867,0.997456,0.998302,47.116020,47.794586,48.370339,97.617819,
99,0.993975,0.989771,0.990530,0.994575,0.995736,1.347425,1.347425,0.892033,0.994822,0.997436,0.998377,47.101529,47.671378,48.315638,97.639152,
100,0.994138,0.988827,0.989457,0.994485,0.996805,1.173215,1.453520,0.893571,0.995023,0.997481,0.997973,47.141189,47.935786,48.236260,97.411461,
101,0.994444,0.989415,0.991201,0.994068,0.997054,1.173215,1.173215,0.892082,0.994760,0.997427,0.997930,47.078606,47.805384,48.322796,97.470452,
102,0.993916,0.988408,0.989644,0.993957,0.996731,1.232220,1.232220,0.890621,0.994605,0.997016,0.998002,47.021024,47.727858,48.206864,97.420870,
103,0.993828,0.987606,0.990107,0.993619,0.996764,1.105332,1.260038,0.890541,0.994597,0.997217,0.998082,46.980864,47.724735,48.131489,97.245976,
104,0.994333,0.989039,0.990093,0.994516,0.996943,1.105332,1.105332,0.890542,0.994711,0.997177,0.997887,46.963279,47.842427,48.030525,97.339597,
105,0.993953,0.987962,0.990541,0.993881,0.996580,0.785656,1.845743,0.887243,0.994450,0.997093,0.997438,46.822442,47.708535,48.035216,96.783405,
106,0.993800,0.988353,0.989506,0.993625,0.996704,0.785656,0.785656,0.888671,0.994571,0.997330,0.998019,46.886560,47.487855,47.895993,96.808131,
107,0.994073,0.989037,0.990093,0.993821,0.996804,1.186973,1.186973,0.889020,0.994155,0.996771,0.997719,46.920404,47.627206,47.953516,97.357715,
108,0.994021,0.988716,0.989601,0.993610,0.997066,1.359262,1.529080,0.889180,0.994789,0.997268,0.998226,46.915220,47.830258,48.192935,97.644345,
109,0.994367,0.989376,0.990179,0.993589,0.997477,0.862517,1.359262,0.889811,0.994771,0.997479,0.998257,46.936123,47.518702,48.104153,97.062507,
