Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
93,0.991267,0.981675,0.985578,0.991694,0.995247,2.175490,2.175490,0.842976,0.990389,0.995049,0.996503,44.824917,45.322897,45.863649,97.854396,
94,0.990602,0.984828,0.984709,0.991402,0.993537,1.414410,2.601469,0.842978,0.989632,0.994421,0.996244,44.851976,45.357143,45.918901,96.649937,
95,0.990501,0.981965,0.983509,0.991612,0.994154,1.163860,1.414410,0.842569,0.989970,0.994632,0.996389,44.866983,45.286781,45.798262,96.317403,
96,0.991584,0.982740,0.985739,0.992904,0.994751,1.163860,1.163860,0.844233,0.990647,0.995241,0.996756,44.954169,45.316438,45.750850,96.613421,
97,0.991164,0.981699,0.984664,0.991839,0.995175,1.209212,1.209212,0.842842,0.990475,0.995229,0.996796,44.909296,45.396772,45.949074,96.584108,
98,0.991402,0.982562,0.985277,0.992070,0.995100,1.322873,1.322873,0.843637,0.990796,0.995511,0.996701,44.905951,45.387650,45.792657,96.793965,
99,0.991495,0.983617,0.984498,0.992315,0.995203,1.347425,1.347425,0.844342,0.990488,0.995262,0.997158,44.912154,45.376003,45.759179,96.871038,
100,0.991346,0.983295,0.985169,0.991148,0.995573,1.173215,1.453520,0.844142,0.990431,0.995351,0.996647,44.889916,45.479736,45.770310,96.569288,
101,0.990532,0.983038,0.984813,0.991732,0.993486,1.173215,1.173215,0.846093,0.990360,0.995122,0.996690,44.943545,45.288918,45.762754,96.384635,
102,0.990927,0.982896,0.984656,0.990568,0.995347,1.232220,1.232220,0.844666,0.990516,0.995173,0.996622,44.915176,45.299977,45.756004,96.546807,
103,0.990681,0.982237,0.983799,0.990984,0.994918,1.105332,1.260038,0.847156,0.990568,0.995348,0.996824,44.980139,45.266885,45.626249,96.348365,
104,0.991451,0.982719,0.984378,0.991533,0.995940,1.105332,1.105332,0.845138,0.989849,0.994868,0.997088,44.906930,45.399329,45.743723,96.512367,
105,0.991639,0.982954,0.985279,0.991917,0.995683,0.785656,1.845743,0.848693,0.990637,0.995154,0.996465,45.069736,45.299262,45.926322,96.092583,
106,0.991845,0.982897,0.986069,0.992388,0.995565,0.785656,0.785656,0.847114,0.990918,0.995523,0.997090,45.000678,45.239325,45.701598,96.205602,
107,0.991606,0.982167,0.985444,0.991403,0.996071,1.186973,1.186973,0.845304,0.990498,0.995164,0.996888,44.942558,45.525768,45.800666,96.655455,
108,0.991365,0.983617,0.985082,0.991629,0.995151,1.359262,1.529080,0.845878,0.990412,0.994995,0.996931,44.936230,45.529532,45.853089,96.827795,
109,0.991186,0.982739,0.985964,0.989714,0.995893,0.862517,1.359262,0.845778,0.989486,0.994581,0.996379,44.955077,45.420577,45.811904,96.058692,
110,0.990700,0.982775,0.985666,0.990880,0.994093,0.862517,0.862517,0.847860,0.990814,0.995229,0.996964,45.005098,45.401522,45.746493,96.035302,
111,0.991277,0.982789,0.983924,0.992419,0.994964,1.222578,1.222578,0.846690,0.990463,0.995214,0.997118,44.962175,45.392756,45.676986,96.651849,
112,0.991361,0.983071,0.984993,0.991240,0.995505,1.874789,1.987386,0.847884,0.990815,0.995212,0.996758,45.013365,45.207739,45.723594,97.509248,
113,0.991019,0.982752,0.983850,0.990372,0.995819,1.538220,1.874789,0.845329,0.990434,0.995061,0.996969,44.915748,45.456345,45.783066,96.996272,
114,0.990860,0.983419,0.985000,0.991195,0.994383,1.538220,1.538220,0.846891,0.990217,0.994919,0.996414,45.011443,45.312496,45.673481,96.909896,
115,0.991446,0.982238,0.984951,0.991969,0.995505,1.899056,1.899056,0.845558,0.990541,0.995205,0.996843,44.921719,45.363300,45.832851,97.564309,
116,0.991380,0.982714,0.985996,0.991266,0.995438,2.616460,2.822761,0.846502,0.990061,0.994820,0.996536,44.945931,45.441191,45.710619,98.450296,
117,0.990916,0.983586,0.984671,0.991423,0.994593,2.276496,2.616460,0.846438,0.990329,0.994910,0.996877,44.915912,45.663760,45.920137,97.935163,
118,0.991566,0.981763,0.986125,0.992907,0.994951,2.223845,2.276496,0.846381,0.990864,0.995414,0.997020,44.919019,45.370191,45.729110,98.044531,
119,0.990680,0.981957,0.985324,0.991080,0.994441,1.528529,2.223845,0.845578,0.991120,0.995643,0.996954,44.878961,45.570013,45.783465,96.937672,
120,0.991121,0.982988,0.985155,0.990709,0.995578,1.528529,1.528529,0.847439,0.991076,0.995530,0.997091,44.950295,45.514121,45.711404,97.040043,
121,0.991252,0.983359,0.984421,0.991899,0.995201,1.826890,1.826890,0.847581,0.990339,0.995065,0.996575,44.918283,45.400060,45.739374,97.398217,
122,0.990937,0.982846,0.985057,0.991122,0.994875,2.215120,2.654641,0.847557,0.990575,0.994960,0.996401,44.914196,45.593643,45.655224,97.824497,
123,0.991130,0.983321,0.985792,0.991256,0.994866,2.067143,2.215120,0.846593,0.990852,0.995421,0.996711,44.841759,45.249198,45.638202,97.718311,
124,0.990907,0.983308,0.984526,0.991495,0.994592,2.067143,2.067143,0.849433,0.990119,0.994778,0.996707,44.940914,45.332602,45.659878,97.637509,
125,0.990795,0.982705,0.985144,0.990180,0.995207,2.274670,2.337447,0.848208,0.990244,0.995358,0.996860,44.918528,45.341608,45.585243,97.925080,
126,0.990429,0.981999,0.983517,0.990597,0.994897,1.848424,2.274670,0.846868,0.990200,0.994786,0.996696,44.880014,45.448207,45.716119,97.243471,
127,0.990566,0.982900,0.984269,0.990133,0.995000,1.741419,1.848424,0.847409,0.990280,0.994804,0.996639,44.935163,45.436397,45.791857,97.128553,
128,0.991372,0.983157,0.983891,0.992604,0.995089,1.741419,1.741419,0.847900,0.990306,0.995197,0.996836,44.959368,45.647866,45.704734,97.338128,
129,0.991705,0.983767,0.985531,0.992063,0.995453,1.271578,2.143877,0.849238,0.990569,0.995361,0.997142,44.963911,45.590587,45.802270,96.819636,
130,0.991393,0.983267,0.984589,0.991029,0.995903,1.271578,1.271578,0.848822,0.991025,0.995519,0.997203,44.982297,45.696899,45.941200,96.765720,
131,0.991286,0.983547,0.984354,0.991810,0.995143,1.608721,1.608721,0.846998,0.990194,0.994991,0.996430,44.912399,45.410306,45.986145,97.100917,
132,0.991693,0.982932,0.984155,0.992824,0.995506,0.954166,1.863452,0.845410,0.990967,0.995376,0.996967,44.872806,45.582956,45.729505,96.381947,
133,0.991018,0.983540,0.985215,0.991628,0.994327,0.954166,0.954166,0.847255,0.990769,0.995451,0.997167,44.907991,45.550293,45.761959,96.253080,
134,0.991447,0.982636,0.985723,0.992431,0.994789,1.114537,1.114537,0.847115,0.990685,0.995445,0.997208,44.881636,45.443405,45.590587,96.563387,
135,0.991052,0.982439,0.985027,0.991671,0.994706,1.353675,1.353675,0.845493,0.990945,0.995520,0.997164,44.862621,45.573435,45.855118,96.796949,
136,0.990921,0.983162,0.982826,0.991727,0.994958,1.226120,1.669822,0.846435,0.990763,0.995256,0.996620,44.895444,45.617787,45.762754,96.542386,
137,0.991219,0.983491,0.984885,0.991951,0.994676,1.226120,1.226120,0.849366,0.990636,0.995061,0.997036,44.980057,45.518626,45.723988,96.631511,
138,0.991053,0.982371,0.984667,0.991247,0.995114,1.279552,1.295776,0.847960,0.991164,0.995499,0.996961,44.929010,45.322178,45.725563,96.682503,
139,0.991470,0.984063,0.985321,0.990817,0.995774,0.933398,1.279552,0.848339,0.990857,0.995482,0.997655,44.942558,45.393486,45.733449,96.364791,
140,0.991235,0.982214,0.985174,0.991898,0.994929,0.933398,0.933398,0.846447,0.990620,0.995360,0.997373,44.906359,45.392756,45.795859,96.284273,
141,0.991596,0.981895,0.985890,0.991740,0.995728,1.081744,1.875609,0.845363,0.990921,0.995637,0.997061,44.876368,45.320743,45.818338,96.550259,
142,0.991314,0.982618,0.984551,0.991920,0.995262,0.700340,1.081744,0.847401,0.991264,0.995497,0.997171,44.930075,45.400791,45.777480,95.982579,
143,0.991311,0.983944,0.985137,0.991855,0.994802,0.700340,0.700340,0.845960,0.990630,0.995375,0.997029,44.845296,45.588296,45.738583,95.962149,
144,0.991265,0.982919,0.984206,0.991239,0.995712,0.868770,0.986740,0.848695,0.991589,0.995777,0.997240,44.966060,45.374186,45.710226,96.217203,
145,0.991760,0.983514,0.985117,0.992650,0.995372,0.868770,0.868770,0.848000,0.990695,0.995387,0.997089,44.950625,45.409940,45.819949,96.291163,
146,0.991370,0.983066,0.985534,0.990956,0.995644,0.665201,1.053577,0.847434,0.991299,0.995798,0.997543,44.945520,45.463757,45.657939,95.991068,
147,0.991505,0.983819,0.984333,0.991910,0.995550,0.665201,0.665201,0.847032,0.990890,0.995351,0.997081,44.934342,45.485696,45.829622,95.961563,
148,0.991151,0.982242,0.985418,0.990898,0.995388,0.891201,1.957079,0.848613,0.990826,0.995336,0.997206,44.991769,45.437502,45.807887,96.196058,
149,0.991116,0.982087,0.984115,0.991841,0.995140,0.891201,0.891201,0.848530,0.991070,0.995595,0.997299,44.959615,45.508121,45.691033,96.208844,
150,0.991410,0.982817,0.985362,0.992603,0.994687,1.032979,1.794518,0.848612,0.990299,0.994746,0.996789,44.980139,45.520128,45.721232,96.379692,
151,0.991178,0.982658,0.985138,0.991223,0.995232,0.909132,1.032979,0.847935,0.990860,0.995287,0.997028,44.925731,45.571914,45.608573,96.209692,
152,0.991505,0.982583,0.986211,0.991288,0.995554,0.719506,0.909132,0.848898,0.991054,0.995503,0.997175,45.009939,45.508870,45.809493,96.049343,
153,0.991575,0.983069,0.985637,0.992904,0.994689,0.719506,0.719506,0.847022,0.990519,0.995097,0.996775,44.918610,45.615865,45.766729,96.011896,
154,0.991620,0.983353,0.985527,0.992061,0.995359,0.805098,0.805098,0.847778,0.990841,0.995338,0.996739,44.935327,45.578002,45.888937,96.145856,
155,0.991155,0.982661,0.983001,0.992390,0.995141,1.053517,1.064617,0.847022,0.990380,0.995062,0.996408,44.960771,45.653287,45.900816,96.335507,
156,0.991285,0.982929,0.984599,0.991961,0.995104,0.904823,1.053517,0.847733,0.990305,0.995156,0.997036,45.001928,45.543488,45.726745,96.219406,
157,0.991136,0.981799,0.984648,0.991455,0.995360,0.904823,0.904823,0.846782,0.990739,0.995502,0.996744,44.952521,45.430135,45.749265,96.181150,
158,0.991521,0.982947,0.984931,0.991901,0.995548,1.031257,1.031257,0.848564,0.990874,0.995500,0.996845,45.012112,45.554836,45.881580,96.442788,
159,0.991726,0.983300,0.984934,0.991854,0.995923,1.791347,1.914143,0.847701,0.990811,0.995646,0.997252,44.966225,45.563177,45.671146,97.537408,
160,0.991773,0.983477,0.985555,0.991677,0.995932,0.754680,1.791347,0.848071,0.990884,0.995466,0.997009,45.009605,45.413605,45.750850,96.139155,
161,0.991057,0.982344,0.984334,0.991613,0.995051,0.754680,0.754680,0.846030,0.990207,0.994950,0.996532,44.913542,45.433081,45.778676,95.918792,
162,0.991238,0.983023,0.985287,0.990445,0.995742,1.044076,2.344682,0.848666,0.991074,0.995449,0.996862,45.018300,45.519377,45.791857,96.398129,
163,0.991258,0.982714,0.985336,0.991083,0.995379,1.044076,1.044076,0.847735,0.990525,0.995433,0.997076,44.982048,45.608957,45.736213,96.416275,
164,0.991265,0.982355,0.984984,0.990771,0.995848,2.125875,2.218083,0.847262,0.991062,0.995524,0.997122,44.927780,45.304265,45.746889,97.864060,
165,0.991501,0.982898,0.985664,0.990707,0.996015,1.456308,2.125875,0.845331,0.989728,0.994782,0.996507,44.823157,45.531792,45.677765,96.939583,
166,0.991391,0.982785,0.984158,0.991110,0.996056,1.456308,1.456308,0.846244,0.990890,0.995637,0.997180,44.850607,45.388015,45.617402,97.013738,
167,0.991121,0.982907,0.983664,0.991453,0.995421,1.673759,1.673759,0.847129,0.990295,0.995242,0.996585,44.890647,45.358229,45.731082,97.175220,
168,0.991992,0.983448,0.984807,0.992460,0.996128,1.931310,1.967718,0.846959,0.991733,0.996062,0.997020,44.868276,45.444513,45.764343,97.785232,
169,0.991477,0.982909,0.985956,0.991539,0.995397,1.580916,1.931310,0.847211,0.990420,0.995143,0.996842,44.917956,45.353525,45.897946,97.146687,
