Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
95,0.584310,0.657592,0.482475,0.519728,0.666017,6.806458,6.806458,0.065754,0.167630,0.236655,0.275030,16.246747,20.733855,21.211310,0.532045,8.515742,
96,0.573102,0.653594,0.484915,0.511232,0.645292,6.721597,7.081063,0.062998,0.161831,0.229093,0.267497,16.176837,20.687261,21.181552,0.524461,7.765995,
97,0.575516,0.657742,0.475677,0.511522,0.652910,6.721597,6.721597,0.063999,0.162844,0.230871,0.270854,16.238308,20.708835,21.216379,0.526568,7.921679,
98,0.565581,0.652801,0.477123,0.508545,0.629857,6.857419,6.857419,0.064370,0.165200,0.233625,0.273420,16.220350,20.759237,21.198574,0.526692,6.881485,
99,0.577668,0.652400,0.481200,0.511535,0.655920,6.910892,6.910892,0.064532,0.164744,0.232403,0.272829,16.163575,20.768769,21.178469,0.525107,8.135204,
100,0.566763,0.645888,0.474237,0.502191,0.643187,6.767764,7.277912,0.063966,0.166290,0.235199,0.276892,16.224497,20.692751,21.210271,0.526917,6.879715,
101,0.568657,0.655380,0.483695,0.510036,0.635475,6.767764,6.767764,0.063689,0.165928,0.234677,0.273591,16.307592,20.641004,21.182852,0.529442,7.081237,
102,0.570976,0.651921,0.477320,0.506218,0.646951,7.050521,7.077435,0.062873,0.164744,0.234289,0.277675,16.344138,20.706411,21.192255,0.527791,7.570786,
103,0.568820,0.646678,0.472646,0.508113,0.643955,6.475636,7.050521,0.061980,0.164526,0.234136,0.276845,16.313796,20.794839,21.180502,0.527324,7.027801,
104,0.572106,0.646362,0.475935,0.505667,0.651898,6.475636,6.475636,0.060530,0.162724,0.231841,0.270614,16.320027,20.803232,21.181909,0.521906,7.469338,
105,0.572527,0.633217,0.457126,0.501473,0.671914,6.802963,7.105297,0.059696,0.164270,0.236303,0.277230,16.318958,20.616608,21.183359,0.521922,7.595055,
106,0.576565,0.633730,0.476573,0.502996,0.664793,6.802963,6.802963,0.058757,0.162745,0.234751,0.279397,16.305981,20.674219,21.198529,0.523094,8.112351,
107,0.571763,0.629201,0.454181,0.504318,0.669395,6.861193,6.861193,0.057556,0.161367,0.231684,0.273393,16.275793,20.677741,21.160121,0.518892,7.786617,
108,0.562821,0.635217,0.458590,0.509043,0.637153,6.686553,7.061534,0.058729,0.162153,0.232397,0.274509,16.308461,20.759737,21.214244,0.519943,6.752743,
109,0.569879,0.638914,0.471114,0.509938,0.647604,6.686553,6.686553,0.060464,0.165942,0.236894,0.280308,16.345040,20.643538,21.194380,0.524193,7.178484,
110,0.564064,0.636118,0.475250,0.518449,0.624216,6.571609,6.852252,0.059212,0.164030,0.233950,0.276287,16.289062,20.577808,21.185810,0.520265,6.686014,
111,0.566787,0.637254,0.464954,0.508250,0.647827,6.571609,6.571609,0.059744,0.165772,0.236523,0.280732,16.341602,20.620621,21.160278,0.524098,6.832165,
112,0.565947,0.636162,0.459671,0.512012,0.645316,7.060270,7.060270,0.059264,0.165874,0.237602,0.283915,16.373695,20.644871,21.191207,0.524609,7.046501,
113,0.577989,0.629179,0.467362,0.515270,0.671378,6.542835,7.073530,0.058814,0.166254,0.238158,0.283534,16.283829,20.629340,21.171110,0.522784,7.888215,
